action_times,actions,block,path,prs,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[8027, 14386, 16026]","[u'right', u'right', u'down']",pre_test,"[u'0', u'5', u'6', u'8']","{u'right': -22, u'up': 0, u'left': -30}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 24]","[8023, 5863, 1133]",28.0,"[None, None, None]","[u'', -2, 4, 48, 24, -4, 8, -48, 24, 4, -8, 24, 24]",75533,0.0,19514.0,-1.461775893828862e+18,mouselab-mdp,0
"[26821, 27540, 28333]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'right': -36, u'up': -106, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'4', u'9', u'11'], u'time': [7298, 15008, 23246, 23865]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -4, 48]","[26818, 222, 295]",44.0,"[None, None, None]","[u'', -2, -8, -48, -48, -4, -8, 24, 24, 4, -4, 48, -24]",116350,1.0,30725.0,-3.0273172606858936e+18,mouselab-mdp,0
"[43254, 43870, 44431]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'right': 0, u'up': -72, u'left': -8}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'9', u'12', u'11', u'8', u'6', u'10', u'5', u'2', u'3', u'4', u'1'], u'time': [6637, 14453, 14649, 17068, 19446, 26295, 26384, 29996, 36010, 37250, 39029, 40840]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[43252, 125, 65]",40.0,"[None, None, None]","[u'', -4, 8, -24, -48, -4, 8, -48, 48, 4, -8, -24, 48]",164287,2.0,46887.0,-1.4148451789680307e+18,mouselab-mdp,0
"[37934, 38574, 39286]","[u'left', u'left', u'down']",training,"[u'0', u'9', u'10', u'12']","{u'right': -10, u'up': -28, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'7', u'8', u'6', u'12', u'10', u'11', u'2', u'4', u'3', u'1'], u'time': [10039, 12681, 18150, 18860, 24258, 24731, 26965, 28881, 30699, 33168, 34903]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[37932, 144, 220]",41.0,"[None, None, None]","[u'', -4, 4, 24, 24, -2, -4, 48, -24, -4, 8, -48, 48]",206557,3.0,41109.0,-4.87466613580449e+18,mouselab-mdp,0
"[30043, 30603, 31210]","[u'left', u'left', u'down']",training,"[u'0', u'9', u'10', u'12']","{u'right': -30, u'up': -18, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'11', u'12', u'10', u'8', u'6', u'5', u'7', u'3', u'2', u'1', u'4'], u'time': [7932, 8465, 10365, 12248, 15324, 17733, 18735, 19530, 22532, 23670, 24712, 28422]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]","[30042, 54, 109]",48.0,"[None, None, None]","[u'', -2, -4, 48, -48, 2, 4, -48, 24, 4, 8, -48, 48]",240437,4.0,32834.0,-2.817098998670331e+18,mouselab-mdp,0
"[30288, 31065, 31992]","[u'left', u'left', u'up']",training,"[u'0', u'9', u'10', u'11']","{u'right': -16, u'up': -116, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'11', u'12', u'10', u'7', u'6', u'5', u'3', u'4', u'1', u'2'], u'time': [12819, 13339, 14812, 16091, 18206, 19769, 20988, 24072, 25609, 27115, 27821]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 4, 48]","[30286, 274, 432]",45.0,"[None, None, None]","[u'', -4, -8, -48, -48, -4, -4, 48, 24, 4, 4, 48, -48]",276093,5.0,34608.0,-9.063084800167141e+18,mouselab-mdp,0
"[38362, 38929, 39961]","[u'up', u'up', u'left']",training,"[u'0', u'1', u'2', u'4']","{u'right': -46, u'up': 0, u'left': -44}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'11', u'12', u'8', u'7', u'3', u'4', u'6', u'5', u'2', u'1'], u'time': [13399, 15873, 18957, 19916, 22483, 24965, 26744, 29924, 31180, 33377, 35130]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 24]","[38360, 70, 534]",11.0,"[None, None, None]","[u'', 2, -4, 24, 24, -4, 4, -24, -24, -2, 4, -24, -48]",322591,6.0,45354.0,7.862543089384343e+18,mouselab-mdp,0
"[28565, 29237, 29893]","[u'left', u'left', u'down']",training,"[u'0', u'9', u'10', u'12']","{u'right': -92, u'up': -66, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'10', u'9', u'6', u'8', u'3', u'4', u'11'], u'time': [4167, 5876, 9911, 12278, 15825, 18398, 21532, 24728]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, -4, 48]","[28563, 175, 163]",32.0,"[None, None, None]","[u'', 2, -4, -24, -24, 4, -8, -48, -48, -4, -4, 48, 48]",355430,7.0,31797.0,-7.913607226466677e+18,mouselab-mdp,0
"[29491, 32139, 32980]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'right': -14, u'up': -90, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'10', u'9', u'6', u'8', u'7', u'5', u'3', u'4', u'2', u'1'], u'time': [3850, 5852, 10042, 13970, 14353, 15673, 19998, 20761, 25186, 26322, 27252]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 24]","[29488, 2152, 335]",13.0,"[None, None, None]","[u'', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",390661,8.0,34115.0,-4.5694966460626975e+18,mouselab-mdp,0
"[6806, 14782, 15654]","[u'right', u'right', u'down']",training,"[u'0', u'5', u'6', u'8']","{u'right': -38, u'up': -4, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'11', u'10', u'9'], u'time': [2124, 3117, 3807]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -4, -48]","[6803, 7480, 377]",-57.0,"[None, None, None]","[u'', -4, 8, 48, -24, -2, -4, 24, -48, 4, 4, 48, -48]",409703,9.0,18000.0,7.26324481058999e+18,mouselab-mdp,0
