bonus,bonusRate,branching,completed,condition,inspectCost,pid,startTime,with_feedback,version
1.67,0.002,312,True,1,1,0,Sat Jun 09 2018 15:21:31 GMT-0400 (Eastern Daylight Time),True,F1
1.81,0.002,312,True,0,1,1,Sat Jun 09 2018 11:39:10 GMT-0500 (Central Daylight Time),False,F1
1.72,0.002,312,True,0,1,2,Sat Jun 09 2018 12:08:09 GMT-0400 (EDT),False,F1
0.0,0.002,312,True,2,1,3,Sat Jun 09 2018 13:28:20 GMT-0500 (Central Daylight Time),True,F1
1.72,0.002,312,True,2,1,4,Sat Jun 09 2018 13:26:17 GMT-0430,True,F1
0.08,0.002,312,True,0,1,5,Sat Jun 09 2018 12:10:19 GMT-0400 (EDT),False,F1
1.7,0.002,312,True,0,1,6,Sat Jun 09 2018 12:01:02 GMT-0400 (Eastern Daylight Time),False,F1
1.64,0.002,312,True,2,1,7,Sat Jun 09 2018 08:58:34 GMT-0700 (Pacific Daylight Time),True,F1
0.27,0.002,312,True,0,1,8,Sat Jun 09 2018 12:02:46 GMT-0400 (Eastern Daylight Time),False,F1
0.0,0.002,312,True,0,1,9,Sat Jun 09 2018 16:05:16 GMT-0400 (Eastern Daylight Time),False,F1
1.65,0.002,312,True,1,1,10,Sat Jun 09 2018 11:07:25 GMT-0500 (Central Daylight Time),True,F1
0.26,0.002,312,True,0,1,11,Sat Jun 09 2018 08:58:47 GMT-0700 (Pacific Daylight Time),False,F1
1.77,0.002,312,True,2,1,12,Sat Jun 09 2018 11:03:37 GMT-0500 (CDT),True,F1
1.75,0.002,312,True,1,1,13,Sat Jun 09 2018 13:56:57 GMT-0400 (Cuba Daylight Time),True,F1
1.73,0.002,312,True,0,1,14,Sat Jun 09 2018 09:12:56 GMT-0700 (Pacific Daylight Time),False,F1
1.71,0.002,312,True,1,1,15,Sat Jun 09 2018 11:59:13 GMT-0400 (Eastern Daylight Time),True,F1
0.0,0.002,312,True,2,1,16,Sat Jun 09 2018 13:47:50 GMT-0400 (EDT),True,F1
1.62,0.002,312,True,1,1,17,Sat Jun 09 2018 12:24:26 GMT-0500 (Central Daylight Time),True,F1
1.81,0.002,312,True,0,1,18,Sat Jun 09 2018 09:05:14 GMT-0700 (Pacific Daylight Time),False,F1
0.05,0.002,312,True,2,1,19,Sat Jun 09 2018 12:17:43 GMT-0400 (Eastern Daylight Time),True,F1
1.35,0.002,312,True,2,1,20,Sat Jun 09 2018 13:10:09 GMT-0400 (Eastern Daylight Time),True,F1
1.85,0.002,312,True,0,1,21,Sat Jun 09 2018 15:11:14 GMT-0400 (Eastern Daylight Time),False,F1
1.62,0.002,312,True,1,1,22,Sat Jun 09 2018 12:05:43 GMT-0400 (Eastern Daylight Time),True,F1
0.0,0.002,312,True,2,1,23,Sat Jun 09 2018 09:59:57 GMT-0700 (Pacific Daylight Time),True,F1
0.52,0.002,312,True,0,1,24,Sat Jun 09 2018 09:05:21 GMT-0700 (Pacific Daylight Time),False,F1
1.48,0.002,312,True,1,1,25,Sat Jun 09 2018 15:26:48 GMT-0400 (EDT),True,F1
1.76,0.002,312,True,1,1,26,Sat Jun 09 2018 14:08:23 GMT-0400 (EDT),True,F1
1.66,0.002,312,True,0,1,27,Sat Jun 09 2018 11:03:55 GMT-0500 (CDT),False,F1
1.61,0.002,312,True,2,1,28,Sat Jun 09 2018 10:02:57 GMT-0600 (Mountain Daylight Time),True,F1
0.6,0.002,312,True,2,1,29,Sat Jun 09 2018 12:08:02 GMT-0400 (Eastern Daylight Time),True,F1
1.55,0.002,312,True,2,1,30,Sat Jun 09 2018 12:32:54 GMT-0500 (Central Daylight Time),True,F1
1.73,0.002,312,True,1,1,31,Sat Jun 09 2018 11:59:40 GMT-0400 (Eastern Daylight Time),True,F1
1.6,0.002,312,True,1,1,32,Sat Jun 09 2018 10:21:22 GMT-0700 (PDT),True,F1
1.81,0.002,312,True,1,1,33,Sat Jun 09 2018 11:59:24 GMT-0400 (Eastern Daylight Time),True,F1
1.67,0.002,312,True,1,1,34,Sat Jun 09 2018 12:09:41 GMT-0400 (Eastern Daylight Time),True,F1
1.66,0.002,312,True,2,1,35,Sat Jun 09 2018 09:58:45 GMT-0600 (Mountain Daylight Time),True,F1
1.61,0.002,312,True,1,1,36,Sat Jun 09 2018 11:58:45 GMT-0400 (Eastern Daylight Time),True,F1
0.0,0.002,312,True,0,1,37,Sat Jun 09 2018 12:09:00 GMT-0400 (EDT),False,F1
1.13,0.002,312,True,0,1,38,Sat Jun 09 2018 12:16:13 GMT-0400 (Eastern Daylight Time),False,F1
0.0,0.002,312,True,0,1,39,Sat Jun 09 2018 13:19:30 GMT-0500 (Central Daylight Time),False,F1
0.0,0.002,312,True,0,1,40,Sat Jun 09 2018 11:08:36 GMT-0500 (Central Daylight Time),False,F1
1.69,0.002,312,True,1,1,41,Sat Jun 09 2018 14:03:00 GMT-0400 (Eastern Daylight Time),True,F1
1.63,0.002,312,True,1,1,42,Sat Jun 09 2018 11:09:38 GMT-0500 (Central Daylight Time),True,F1
1.78,0.002,312,True,1,1,43,Sat Jun 09 2018 11:05:19 GMT-0500 (Central Daylight Time),True,F1
1.78,0.002,312,True,0,1,44,Sat Jun 09 2018 18:03:14 GMT+0200 (CEST),False,F1
1.45,0.002,312,True,1,1,45,Sat Jun 09 2018 10:06:18 GMT-0600 (Mountain Daylight Time),True,F1
0.0,0.002,312,True,2,1,46,Sat Jun 09 2018 11:59:05 GMT-0400 (Eastern Daylight Time),True,F1
1.61,0.002,312,True,2,1,47,Sat Jun 09 2018 14:10:43 GMT-0600 (MDT),True,F1
1.58,0.002,312,True,1,1,48,Sat Jun 09 2018 14:55:46 GMT-0400 (Eastern Daylight Time),True,F1
1.65,0.002,312,True,2,1,49,Sat Jun 09 2018 12:25:44 GMT-0600 (Mountain Daylight Time),True,F1
1.66,0.002,312,True,0,1,50,Sat Jun 09 2018 11:05:18 GMT-0700 (Pacific Daylight Time),False,F1
0.0,0.002,312,True,0,1,51,Sat Jun 09 2018 09:05:45 GMT-0700 (Pacific Daylight Time),False,F1
0.04,0.002,312,True,2,1,52,Sat Jun 09 2018 12:19:33 GMT-0400 (Eastern Standard Time),True,F1
1.21,0.002,312,True,1,1,53,Sat Jun 09 2018 10:50:39 GMT-0700 (Pacific Daylight Time),True,F1
0.0,0.002,312,True,2,1,54,Sat Jun 09 2018 09:03:12 GMT-0700 (Pacific Daylight Time),True,F1
0.69,0.002,312,True,0,1,55,Sat Jun 09 2018 12:00:19 GMT-0400 (Eastern Daylight Time),False,F1
1.62,0.002,312,True,0,1,56,Sat Jun 09 2018 11:59:58 GMT-0400 (Eastern Daylight Time),False,F1
1.67,0.002,312,True,2,1,57,Sat Jun 09 2018 08:59:00 GMT-0700 (Pacific Daylight Time),True,F1
1.37,0.002,312,True,0,1,58,Sat Jun 09 2018 11:59:00 GMT-0400 (Eastern Daylight Time),False,F1
1.77,0.002,312,True,1,1,59,Sat Jun 09 2018 12:02:54 GMT-0400 (Eastern Daylight Time),True,F1
1.61,0.002,312,True,1,1,60,Sat Jun 09 2018 12:08:21 GMT-0400 (Eastern Daylight Time),True,F1
1.49,0.002,312,True,1,1,61,Sat Jun 09 2018 12:01:30 GMT-0400 (Eastern Daylight Time),True,F1
