pid,responses,rt,time_elapsed,applicable,lesson,other lessons
0,"{""Q0"":""I click the second steps to see if that is a good direction to try for."",""Q1"":""There was no point in clicking on the ones that lead to a big negative at the second steps, so I would avoid clicking that until something better was revealed on the second steps."",""Q2"":""When I found a good path to go, depending on what was at the second steps, I would stop clicking, to save a few points."",""Q3"":""I clicked on the lower left most point."",""Q4"":""Sometimes I would click on other second steps, even after finding a good positive path, just to see if I could get an even better path.""}",129878,1029492,,,
0,"{""Q0"":""I learned kind of that no matter how good a deal something is, it isn't always going to pan out, that is to say, that I learned that sometimes you have to settle for less."",""Q1"":""There was nothing confusing about it really."",""Q2"":""39"",""Q3"":""Thanks for the fun task! Much appreciated!""}",107399,1137894,1,2,
1,"{""Q0"":""I was clicking on the nodes at the edges to reveal their value since the values 24 and 48- the highest ones were assigned to one of them."",""Q1"":""I decided not to click on nodes between the nodes on the edges because the destination of the highest value nodes was on the edges, on the path to them the value was raging up to 8 at most."",""Q2"":""When I clicked all the edge nodes and found 48 or 24 if there was no 48."",""Q3"":""One of the edge nodes."",""Q4"":""First few rounds I clicked on all nodes to see if there is any pattern (on the test) and then used what learned.""}",215190,731903,,,
1,"{""Q0"":""I learned the highest values on the nodes that are the furthest from the node I began at."",""Q1"":""No, it was easy."",""Q2"":""25"",""Q3"":""It was really fun.""}",59055,791967,0,1,
2,"{""Q0"":""I inspected the end nodes until I found a 48 (or 24 if there were no 48s.)"",""Q1"":""I never clicked on nodes I didn't inspect, except on round 20/20 by accident."",""Q2"":""When I got to a 48 on the outer edge."",""Q3"":""The end nodes in general. More specifically, the end node that was second from the bottom on the left seemed to have a 48 more often than the others so I would always check that one first."",""Q4"":""""}",147361,637671,,,
2,"{""Q0"":""I learned to take risks a little more. My initial reaction to the training game was to try to conserve all my money by not clicking much but I quickly learned that it was much more profitable to simply check the end nodes."",""Q1"":""No"",""Q2"":""31"",""Q3"":""""}",76642,715325,0,4,1
3,"{""Q0"":""when to the next one"",""Q1"":""i followed the same pattern"",""Q2"":""when it wouldn't go anymore"",""Q3"":""left"",""Q4"":""nope""}",49725,731744,,,
3,"{""Q0"":""nothing"",""Q1"":""no"",""Q2"":""55"",""Q3"":""no""}",18372,751125,-999,0,
4,"{""Q0"":""I was trying to optimize the paths I clicked on depending on the possible outcomes that I already knew could come about depending on each step I would take."",""Q1"":""I didn't click where I knew the I already had a better outcome through a different path."",""Q2"":""When I knew I was on the best path possible."",""Q3"":""I always clicked the three first steps of each path. I think I only didn't click all the three steps once because I realized that I could explore the path with the best possible outcome at once I the first number that appeared was positive 4."",""Q4"":""As the game went on I realized more optimal ways of getting a larger profit.""}",223853,1274256,,,
4,"{""Q0"":""That I should have given a better thought to the logic behind the game in the practice session."",""Q1"":""Everything was clear. Although, during the practice session I kept getting waiting penalties. I think the experiment was evaluating if I went through the best route possible."",""Q2"":""53"",""Q3"":""Fun survey.""}",95694,1370979,0,5,
5,"{""Q0"":""Random choices, couldn't figure out the pattern"",""Q1"":""Tried not to click where I previously just did prior round"",""Q2"":""Arbitrary "",""Q3"":""Up"",""Q4"":""n/a""}",45197,523085,,,
5,"{""Q0"":""n/a"",""Q1"":""no"",""Q2"":""24"",""Q3"":""n/a""}",12446,536542,-999,0,
6,"{""Q0"":""I clicked on the last steps bc they would show the largest value or deficit and chose the route with the best last value."",""Q1"":""I didn't bother clicking on the first step circles bc the value was small and wouldn't indicate what was to come with the larger values."",""Q2"":""When I found a +48 I would stop and take that path."",""Q3"":""The end circles."",""Q4"":""""}",84161,543028,,,
