,0,1,2,3,4,5,6,7,8
0,"There was no point in clicking on the ones that lead to a big negative at the second steps, so I would avoid clicking that until something better was revealed on the second steps.",I click the second steps to see if that is a good direction to try for.,I clicked on the lower left most point.,"When I found a good path to go, depending on what was at the second steps, I would stop clicking, to save a few points.","Sometimes I would click on other second steps, even after finding a good positive path, just to see if I could get an even better path.",There was nothing confusing about it really.,"I learned kind of that no matter how good a deal something is, it isn't always going to pan out, that is to say, that I learned that sometimes you have to settle for less.",Thanks for the fun task! Much appreciated!,39
1,"I decided not to click on nodes between the nodes on the edges because the destination of the highest value nodes was on the edges, on the path to them the value was raging up to 8 at most.",I was clicking on the nodes at the edges to reveal their value since the values 24 and 48- the highest ones were assigned to one of them.,One of the edge nodes.,When I clicked all the edge nodes and found 48 or 24 if there was no 48.,First few rounds I clicked on all nodes to see if there is any pattern (on the test) and then used what learned.,"No, it was easy.",I learned the highest values on the nodes that are the furthest from the node I began at.,It was really fun.,25
2,"I never clicked on nodes I didn't inspect, except on round 20/20 by accident.",I inspected the end nodes until I found a 48 (or 24 if there were no 48s.),"The end nodes in general. More specifically, the end node that was second from the bottom on the left seemed to have a 48 more often than the others so I would always check that one first.",When I got to a 48 on the outer edge.,,No,I learned to take risks a little more. My initial reaction to the training game was to try to conserve all my money by not clicking much but I quickly learned that it was much more profitable to simply check the end nodes.,,31
3,i followed the same pattern,when to the next one,left,when it wouldn't go anymore,nope,no,nothing,no,55
4,I didn't click where I knew the I already had a better outcome through a different path.,I was trying to optimize the paths I clicked on depending on the possible outcomes that I already knew could come about depending on each step I would take.,I always clicked the three first steps of each path. I think I only didn't click all the three steps once because I realized that I could explore the path with the best possible outcome at once I the first number that appeared was positive 4.,When I knew I was on the best path possible.,As the game went on I realized more optimal ways of getting a larger profit.,"Everything was clear. Although, during the practice session I kept getting waiting penalties. I think the experiment was evaluating if I went through the best route possible.",That I should have given a better thought to the logic behind the game in the practice session.,Fun survey.,53
5,Tried not to click where I previously just did prior round,"Random choices, couldn't figure out the pattern",Up,Arbitrary ,n/a,no,n/a,n/a,24
6,I didn't bother clicking on the first step circles bc the value was small and wouldn't indicate what was to come with the larger values.,I clicked on the last steps bc they would show the largest value or deficit and chose the route with the best last value.,The end circles.,When I found a +48 I would stop and take that path.,,No,To click on only the end circles.,,35
7,"If I found a 48, I didn't really need to click the rest of them.","I clicked the last nodes first, because they had the highest values.",The final nodes.,I stopped clicking if there was only one 48,"I would click the final nodes, find the 48s and then move towards them. If there were multiple 48s, I would click the 2nd tier as well.","No, not really.",I learned the last nodes are by far the most important.,That was fun! Thank you!,29
8,If it was negative previously,It was random,To the left of the starting point,I stopped when the timer went off,I tried to switch the movements as much as possible.,None,Pattern recognition.,,39
9,I would not click if it was the opposite of where I wanted to go.,It was based on the direction that I wanted to go.,I was most likely to click left. ,I thought that I could only click on one node. I just realized that I could have clicked on more. Stupid. ,No. ,n/a,Nothing. ,,37
