key_press,rt,time_elapsed,trial_type,pid
32.0,21268,21279,text,0
32.0,17408,39694,text,0
32.0,14230,54926,text,0
32.0,8030,84565,text,0
32.0,2856,426991,text,0
32.0,10380,438375,text,0
32.0,29692,29701,text,1
32.0,24205,54913,text,1
32.0,11226,67142,text,1
32.0,5895,102271,text,1
32.0,1509,238835,text,1
32.0,15870,255711,text,1
32.0,25171,25182,text,2
32.0,20977,47172,text,2
32.0,13648,61822,text,2
32.0,15897,101369,text,2
32.0,1753,225959,text,2
32.0,11471,238437,text,2
32.0,22560,22568,text,3
39.0,1931,25508,text,3
32.0,9899,36420,text,3
32.0,4789,65083,text,3
32.0,2701,419696,text,3
32.0,17769,438482,text,3
32.0,30748,30779,text,4
32.0,29104,60899,text,4
32.0,16933,78850,text,4
32.0,15252,132356,text,4
32.0,4026,482350,text,4
32.0,16201,499566,text,4
32.0,29121,29130,text,5
32.0,13782,43919,text,5
39.0,8295,53222,text,5
32.0,11976,91114,text,5
32.0,2107,220096,text,5
32.0,12843,233950,text,5
32.0,28316,28327,text,6
39.0,2315,31663,text,6
32.0,12929,45615,text,6
32.0,10337,72039,text,6
32.0,2854,196133,text,6
32.0,14475,211629,text,6
32.0,14983,14994,text,7
39.0,1427,17425,text,7
39.0,1489,19918,text,7
32.0,5738,43491,text,7
32.0,2273,231039,text,7
32.0,6113,238157,text,7
32.0,15229,15259,text,8
32.0,6634,22921,text,8
32.0,7352,31280,text,8
32.0,3896,49301,text,8
32.0,2846,162623,text,8
32.0,6192,169827,text,8
32.0,18165,18173,text,9
32.0,13258,32437,text,9
32.0,6661,40101,text,9
32.0,6639,84900,text,9
32.0,1926,198203,text,9
32.0,8973,208179,text,9
32.0,15689,15699,text,10
32.0,15066,31770,text,10
32.0,8321,41100,text,10
32.0,3561,63290,text,10
32.0,2404,396610,text,10
32.0,7801,405422,text,10
32.0,15389,15398,text,11
32.0,12309,28723,text,11
32.0,7279,37010,text,11
32.0,5325,56810,text,11
32.0,2081,179160,text,11
32.0,5992,186167,text,11
32.0,12364,12377,text,12
32.0,16211,29597,text,12
32.0,6714,37318,text,12
32.0,7520,56320,text,12
32.0,1068,202844,text,12
32.0,10377,214228,text,12
32.0,23781,23794,text,13
32.0,27188,51985,text,13
32.0,8688,61682,text,13
32.0,6608,91761,text,13
32.0,27607,266737,text,13
32.0,113219,380961,text,13
32.0,39159,39173,text,14
32.0,43000,83183,text,14
32.0,313600,397786,text,14
32.0,4543,444947,text,14
32.0,2847,602285,text,14
32.0,24641,627933,text,14
32.0,38952,38966,text,15
39.0,3124,43125,text,15
32.0,16042,60175,text,15
32.0,10119,96496,text,15
32.0,5693,438573,text,15
32.0,17412,457006,text,15
32.0,12274,12291,text,16
32.0,10462,23761,text,16
32.0,5394,30160,text,16
32.0,2764,55654,text,16
32.0,1181,442999,text,16
32.0,7451,451460,text,16
32.0,31836,31861,text,17
32.0,22279,55156,text,17
32.0,10454,66616,text,17
32.0,9824,91448,text,17
32.0,1552,313325,text,17
32.0,13498,327835,text,17
32.0,27156,27165,text,18
32.0,18238,46410,text,18
32.0,8153,55568,text,18
32.0,9179,93882,text,18
32.0,2738,237853,text,18
32.0,20951,259809,text,18
32.0,13939,13972,text,19
32.0,10222,25207,text,19
32.0,6976,33210,text,19
32.0,7289,60786,text,19
32.0,2444,507267,text,19
32.0,8665,516956,text,19
32.0,37862,37985,text,20
32.0,20406,59398,text,20
32.0,12211,72615,text,20
32.0,10509,115022,text,20
32.0,2634,346731,text,20
32.0,28165,375996,text,20
32.0,2040,2051,text,21
18.0,18848,21908,text,21
32.0,7772,30684,text,21
32.0,3162,81489,text,21
32.0,19743,242232,text,21
17.0,3654,246891,text,21
32.0,20166,20184,text,22
32.0,24471,45662,text,22
32.0,8859,55530,text,22
32.0,7182,87210,text,22
32.0,1923,275585,text,22
32.0,14689,291287,text,22
32.0,2801,2811,text,23
32.0,1028,4842,text,23
32.0,671,6514,text,23
32.0,518,18913,text,23
32.0,583,392217,text,23
32.0,4443,397664,text,23
32.0,9334,9346,text,24
32.0,6877,17227,text,24
32.0,5282,23512,text,24
32.0,1828,38203,text,24
32.0,1931,145785,text,24
32.0,3909,150700,text,24
32.0,39936,39949,text,25
32.0,13524,54481,text,25
32.0,10990,66479,text,25
32.0,7758,97956,text,25
