action_times,actions,block,delays,path,prs,queries,rewards,rt,score,simulation_mode,state_rewards,time_elapsed,trial_index,trial_time,trial_id,trial_type,pid
"[20095, 21403, 22405]","[u'up', u'up', u'left']",training,[],"[u'0', u'1', u'2', u'4']","{u'right': -98, u'up': 0, u'left': -38}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'8', u'5', u'6', u'7', u'9', u'10', u'11', u'12', u'1', u'2', u'4', u'3'], u'time': [7822, 8782, 9630, 10129, 11268, 11645, 12144, 12610, 13438, 14076, 15132, 15554]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, 8, 48]","[20090, 796, 483]",48.0,"[None, None, None]","[u'', 4, 8, -24, 48, 2, 8, -48, -48, 2, -4, 24, -48]",109038,0.0,24250.0,-6.668518537832265e+18,mouselab-mdp,0
"[11786, 12354, 12873]","[u'up', u'up', u'right']",training,[],"[u'0', u'1', u'2', u'3']","{u'right': -22, u'up': 0, u'left': -30}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'1', u'10', u'2', u'4', u'3', u'11', u'12', u'7', u'8', u'6'], u'time': [2270, 2972, 3585, 4911, 5465, 5805, 6524, 8307, 8765, 9383, 9761, 10407]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 4, 48]","[11779, 54, 5]",38.0,"[None, None, None]","[u'', -2, 4, 48, 24, -4, 8, -48, 24, 4, -8, 24, 24]",124902,1.0,14768.0,-1.461775893828862e+18,mouselab-mdp,0
"[7115, 7828, 8633]","[u'left', u'left', u'up']",training,[],"[u'0', u'9', u'10', u'11']","{u'right': -32, u'up': -68, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'2', u'3', u'4', u'11', u'12', u'7', u'8'], u'time': [1538, 2228, 2609, 3136, 3718, 4266, 4863, 5383]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[4, -8, 48]","[7111, 194, 283]",36.0,"[None, None, None]","[u'', -4, 4, -24, -24, -4, -8, 24, -24, 4, -8, 48, -48]",141341,2.0,15380.0,4.609247180316577e+17,mouselab-mdp,0
"[8480, 9092, 10410]","[u'up', u'up', u'right']",training,[],"[u'0', u'1', u'2', u'3']","{u'right': -46, u'up': 0, u'left': -44}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'11', u'12', u'4', u'3'], u'time': [1330, 2198, 2846, 3370, 3995, 4716]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, -4, 24]","[8476, 93, 811]",16.0,"[None, None, None]","[u'', 2, -4, 24, 24, -4, 4, -24, -24, -2, 4, -24, -48]",154331,3.0,11942.0,7.862543089384343e+18,mouselab-mdp,0
"[8025, 17779, 18385]","[u'up', u'up', u'right']",training,[],"[u'0', u'1', u'2', u'3']","{u'right': -38, u'up': -4, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'7', u'8', u'2', u'10'], u'time': [683, 1227, 2115, 2593, 3220, 3790, 5378, 5957]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 8, 48]","[8020, 3234, 92]",44.0,"[None, None, None]","[u'', -4, 8, 48, -24, -2, -4, 24, -48, 4, 4, 48, -48]",175754,4.0,20335.0,7.26324481058999e+18,mouselab-mdp,0
"[11651, 12654, 13291]","[u'right', u'right', u'down']",training,[],"[u'0', u'5', u'6', u'8']","{u'right': 0, u'up': -94, u'left': -56}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'8', u'3', u'4', u'11', u'12', u'10', u'9', u'6', u'5', u'1', u'2'], u'time': [1821, 2389, 2952, 3994, 4469, 4889, 7904, 8296, 8885, 9456, 9848, 10525]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, 48]","[11648, 482, 118]",26.0,"[None, None, None]","[u'', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",191741,5.0,14941.0,-1.84824368346445e+18,mouselab-mdp,0
"[4920, 5516, 6552]","[u'left', u'left', u'up']",training,[],"[u'0', u'9', u'10', u'11']","{u'right': -8, u'up': -8, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'7', u'8'], u'time': [737, 1501, 2061, 2572, 3205, 3640]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, -8, 48]","[4915, 79, 516]",32.0,"[None, None, None]","[u'', -2, 8, 24, -48, 2, 4, -24, 24, -2, -8, 48, -24]",204240,6.0,11444.0,6.282558609452272e+18,mouselab-mdp,0
"[9041, 9668, 10755]","[u'right', u'right', u'down']",training,[],"[u'0', u'5', u'6', u'8']","{u'right': 0, u'up': -32, u'left': -6}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'7', u'8', u'6', u'10', u'5', u'9'], u'time': [1152, 1756, 2256, 3206, 3772, 4180, 5483, 6312, 6948, 7316]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-2, 8, 48]","[9037, 121, 573]",44.0,"[None, None, None]","[u'', 2, -4, 24, -24, -2, 8, 24, 48, 4, -4, 48, 48]",217447,7.0,12152.0,5.246743485396079e+18,mouselab-mdp,0
"[4356, 5375, 6184]","[u'left', u'left', u'down']",training,[],"[u'0', u'9', u'10', u'12']","{u'right': -14, u'up': -24, u'left': 0}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'11', u'12', u'7', u'8'], u'time': [455, 1030, 1477, 2253, 2813, 3249]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[-4, 4, 48]","[4351, 523, 299]",42.0,"[None, None, None]","[u'', -4, 4, 24, 24, 2, 8, -24, 24, -4, 4, -24, 48]",226427,8.0,7907.0,5.347440239323845e+18,mouselab-mdp,0
"[4494, 5267, 6012]","[u'up', u'up', u'right']",training,[],"[u'0', u'1', u'2', u'3']","{u'right': -42, u'up': 0, u'left': -94}","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'12', u'11', u'7', u'8'], u'time': [666, 1409, 1912, 2325, 3132, 3447]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}","[2, 8, 48]","[4490, 253, 230]",52.0,"[None, None, None]","[u'', 2, 8, 48, -24, -4, -4, -48, 24, -4, -8, -48, -24]",236076,9.0,8607.0,2.372710761025483e+18,mouselab-mdp,0
