pid,block,delays,score,trial_index,trial_time,clicks,n_clicks,stim_i
0,training,[],48.0,0,24250.0,"[8, 5, 6, 7, 9, 10, 11, 12, 1, 2, 4, 3]",12,0
0,training,[],38.0,1,14768.0,"[5, 9, 1, 10, 2, 4, 3, 11, 12, 7, 8, 6]",12,1
0,training,[],36.0,2,15380.0,"[9, 2, 3, 4, 11, 12, 7, 8]",8,2
0,training,[],16.0,3,11942.0,"[7, 8, 11, 12, 4, 3]",6,3
0,training,[],44.0,4,20335.0,"[3, 4, 11, 12, 7, 8, 2, 10]",8,4
0,training,[],26.0,5,14941.0,"[7, 8, 3, 4, 11, 12, 10, 9, 6, 5, 1, 2]",12,5
0,training,[],32.0,6,11444.0,"[3, 4, 11, 12, 7, 8]",6,6
0,training,[],44.0,7,12152.0,"[3, 4, 11, 12, 7, 8, 6, 10, 5, 9]",10,7
0,training,[],42.0,8,7907.0,"[3, 4, 11, 12, 7, 8]",6,8
0,training,[],52.0,9,8607.0,"[3, 4, 12, 11, 7, 8]",6,9
0,test,[],30.0,10,9639.0,"[3, 4, 11, 12, 7, 8]",6,10
0,test,[],24.0,11,9979.0,"[3, 4, 11, 12, 7, 8]",6,11
0,test,[],18.0,12,9519.0,"[12, 11, 4, 3, 7, 8]",6,12
0,test,[],48.0,13,9703.0,"[3, 4, 11, 12, 7, 8]",6,13
0,test,[],12.0,14,9747.0,"[3, 4, 11, 12, 7, 8, 6, 2, 5, 1]",10,14
0,test,[],34.0,15,10396.0,"[4, 3, 7, 8, 11, 12, 10, 6]",8,15
0,test,[],10.0,16,10827.0,"[3, 4, 11, 12, 7, 8, 2, 10]",8,16
0,test,[],38.0,17,10263.0,"[4, 3, 7, 8, 11, 12]",6,17
0,test,[],45.0,18,11560.0,"[4, 3, 7, 8, 11, 12, 10, 6, 2]",9,18
0,test,[],34.0,19,10487.0,"[11, 4, 3, 7, 8, 12]",6,19
0,test,[],54.0,20,9289.0,"[4, 3]",2,20
0,test,[],53.0,21,10744.0,[4],1,21
0,test,[],55.0,22,10034.0,"[3, 11, 12, 4, 7]",5,22
0,test,[],56.0,23,8354.0,"[4, 3]",2,23
0,test,[],32.0,24,8332.0,"[4, 3, 7, 8, 11, 12]",6,24
0,test,[],41.0,25,8811.0,[3],1,25
0,test,[],43.0,26,9964.0,"[7, 12, 11, 4, 3]",5,26
0,test,[],14.0,27,8561.0,"[3, 4, 11, 12, 7, 8]",6,27
0,test,[],49.0,28,9368.0,"[4, 11, 12, 3, 7]",5,28
0,test,[],42.0,29,9904.0,"[3, 4]",2,29
1,training,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36.0,0,19556.0,"[9, 1, 5, 8, 6, 7, 3, 4, 2, 10, 11, 12]",12,15
1,training,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",38.0,1,17666.0,"[9, 1, 5, 8, 6, 7, 3, 2, 4, 11, 10, 12]",12,30
1,training,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14.0,2,20951.0,"[9, 1, 5, 4, 2, 3, 11, 10, 12, 7, 6, 8]",12,31
1,training,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18.0,3,15898.0,"[9, 1, 5, 12, 10, 11, 4, 2, 3, 7, 6, 8]",12,32
1,training,"[0, 0, 0, 0, 0, 0, 0]",50.0,4,10709.0,"[9, 1, 5, 4, 2, 3]",6,33
1,training,"[0, 0, 0, 0, 0, 0, 0, 0]",37.0,5,13424.0,"[9, 1, 5, 4, 3, 2, 7]",7,34
1,training,"[0, 0, 0, 0, 0, 0]",43.0,6,10535.0,"[9, 1, 5, 4, 3]",5,35
1,training,"[0, 0, 0, 0, 0, 0]",39.0,7,8897.0,"[9, 1, 5, 11, 12]",5,36
1,training,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13.0,8,15741.0,"[9, 1, 4, 3, 5, 8, 7, 11, 12]",9,3
1,training,"[0, 0, 0, 0]",45.0,9,9090.0,"[9, 11, 12]",3,7
1,test,"[0, 0, 0, 0]",53.0,10,9947.0,"[1, 9, 11]",3,4
1,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11.0,11,14908.0,"[1, 5, 9, 11, 12, 4, 3, 7, 8]",9,27
1,test,"[0, 0, 0, 0]",57.0,12,10426.0,"[9, 11, 12]",3,37
1,test,"[0, 0, 0, 0, 0]",50.0,13,9620.0,"[9, 1, 5, 8]",4,18
1,test,"[0, 0, 0, 0, 0]",54.0,14,9331.0,"[5, 1, 4, 3]",4,23
1,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29.0,15,12404.0,"[1, 9, 11, 12, 5, 4, 3, 7, 8]",9,5
1,test,"[0, 0, 0, 0]",53.0,16,9603.0,"[1, 4, 3]",3,20
1,test,"[0, 0, 0, 0, 0, 0, 0, 0]",43.0,17,11749.0,"[1, 5, 9, 11, 12, 4, 3]",7,1
1,test,"[0, 0, 0, 0, 0, 0, 0, 0]",41.0,18,11443.0,"[9, 1, 5, 11, 12, 4, 3]",7,26
1,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11.0,19,11705.0,"[11, 12, 4, 3, 7, 8, 1, 5, 9]",9,38
1,test,"[0, 0, 0, 0, 0]",54.0,20,10231.0,"[1, 9, 4, 3]",4,9
1,test,"[0, 0, 0, 0]",43.0,21,9433.0,"[1, 4, 3]",3,39
1,test,"[0, 0, 0, 0]",41.0,22,9254.0,"[9, 1, 4]",3,29
1,test,"[0, 0, 0]",46.0,23,8710.0,"[9, 11]",2,40
1,test,"[0, 0, 0, 0, 0, 0, 0]",34.0,24,11061.0,"[1, 5, 7, 8, 9, 11]",6,41
1,test,"[0, 0, 0, 0, 0]",40.0,25,10116.0,"[1, 9, 5, 11]",4,17
1,test,"[0, 0, 0]",54.0,26,10188.0,"[9, 11]",2,42
1,test,"[0, 0, 0, 0, 0, 0, 0]",48.0,27,10085.0,"[9, 1, 4, 3, 7, 8]",6,43
1,test,"[0, 0, 0, 0]",51.0,28,9356.0,"[11, 12, 4]",3,44
1,test,"[0, 0, 0, 0, 0, 0, 0]",24.0,29,11561.0,"[4, 3, 7, 8, 12, 11]",6,45
2,training,[0],60.0,0,21593.0,[],0,22
2,training,[0],-14.0,1,10452.0,[],0,28
2,training,[0],-42.0,2,10651.0,[],0,5
2,training,[0],46.0,3,11427.0,[],0,25
2,training,[0],-22.0,4,8522.0,[],0,46
2,training,[0],40.0,5,23474.0,[],0,19
2,training,"[0, 0, 0]",-50.0,6,17436.0,"[1, 5]",2,13
2,training,"[0, 0, 0]",54.0,7,16448.0,"[1, 5]",2,4
2,training,"[0, 0, 0]",18.0,8,10871.0,"[1, 5]",2,1
2,training,"[0, 0, 0]",-52.0,9,10262.0,"[9, 1]",2,14
2,test,"[0, 0, 0, 0]",33.0,10,16024.0,"[1, 9, 5]",3,47
2,test,"[0, 0, 0, 0]",41.0,11,10173.0,"[9, 1, 5]",3,17
2,test,"[0, 0, 0, 0]",33.0,12,11074.0,"[9, 1, 5]",3,48
2,test,"[0, 0, 0, 0]",-15.0,13,9679.0,"[9, 1, 5]",3,10
2,test,"[0, 0, 0]",-26.0,14,11504.0,"[9, 1]",2,26
2,test,"[0, 0, 0]",32.0,15,12599.0,"[1, 9]",2,8
2,test,"[0, 0, 0, 0]",-21.0,16,8911.0,"[9, 1, 5]",3,44
2,test,"[0, 0, 0]",-30.0,17,8961.0,"[9, 1]",2,36
2,test,"[0, 0, 0]",-32.0,18,16393.0,"[1, 9]",2,49
2,test,"[0, 0, 0, 0]",-45.0,19,15700.0,"[1, 9, 5]",3,45
2,test,"[0, 0, 0]",46.0,20,8417.0,"[9, 1]",2,35
2,test,"[0, 0]",-37.0,21,7731.0,[9],1,37
2,test,"[0, 0, 0]",56.0,22,11938.0,"[9, 1]",2,23
2,test,"[0, 0, 0]",-20.0,23,9170.0,"[1, 9]",2,6
2,test,"[0, 0, 0]",-26.0,24,8857.0,"[5, 1]",2,40
2,test,"[0, 0, 0, 0]",19.0,25,9216.0,"[1, 9, 5]",3,3
2,test,"[0, 0]",47.0,26,9300.0,[9],1,7
2,test,"[0, 0]",-37.0,27,7603.0,[5],1,38
2,test,"[0, 0, 0]",26.0,28,9080.0,"[9, 1]",2,50
2,test,"[0, 0]",35.0,29,9314.0,[5],1,51
3,training,[],41.0,0,19425.0,"[5, 1, 9]",3,17
3,training,[],19.0,1,13207.0,"[1, 5, 9]",3,14
3,training,[],-49.0,2,57795.0,"[1, 9, 5]",3,3
3,training,[],35.0,3,8816.0,"[1, 5, 9]",3,52
3,training,[],-40.0,4,7975.0,[],0,33
3,training,[],60.0,5,9309.0,[],0,37
3,training,[],21.0,6,9984.0,"[1, 5, 9]",3,12
